"",element,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"5415",5415,MINI Cooper S Cabriolet DKG,48100,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,9016 St.Gallen,2023-11-22,MINI ,Cooper ,Cooper S ,,FALSE
"5416",5416,SKODA Kamiq 1.5 TSI ACT Style DSG,25900,01.2020,66'900,150,Automatikgetriebe,Benzin,8048 Zürich,2023-11-22,SKODA ,Kamiq ,Kamiq 1.5 ,,FALSE
"5417",5417,SKODA FABIA 1.5 TSI Monte Carlo DSG,28950,11.2023,3'800,150,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,SKODA ,FABIA ,FABIA 1.5 ,,FALSE
"5418",5418,SEAT LEON ST 2.0 TSI FR DSG,33990,Tageszulassung,50,190,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,SEAT ,LEON ,LEON ST ,,FALSE
"5419",5419,BMW X6 xDr 48V 30d M SportPro,109400,Neues Fahrzeug,11,285,Automatikgetriebe,Diesel,3172 Bern-Niederwangen,2023-11-22,BMW ,X6 ,X6 xDr ,,FALSE
"5420",5420,OPEL Crossland X 1.2 T Ultimate S/S,17200,07.2019,99'800,110,Automatikgetriebe,Benzin,5013 Niedergösgen,2023-11-22,OPEL ,Crossland ,Crossland X ,,FALSE
"5421",5421,PORSCHE Macan GTS PDK,69999,03.2020,67'000,380,Automatikgetriebe,Benzin,6410 Goldau,2023-11-22,PORSCHE ,Macan ,Macan GTS ,,FALSE
"5422",5422,BMW 530e xDrive Touring M Sport Steptronic,44490,10.2021,40'000,292,Automatikgetriebe,Hybrid,9244 Niederuzwil,2023-11-22,BMW ,530e ,530e xDrive ,,FALSE
"5423",5423,AUDI S4 Avant 3.0 TFSI quattro S-tronic,24999,09.2013,116'000,333,Automatikgetriebe,Benzin,8280 Kreuzlingen,2023-11-22,AUDI ,S4 ,S4 Avant ,,FALSE
"5424",5424,FIAT 695 1.4 16V Turbo Abarth Esseesse,28100,03.2022,9'500,180,Handschaltung,Benzin,8953 Dietikon,2023-11-22,FIAT ,695 ,695 1.4 ,,FALSE
"5425",5425,CITROEN Spacetourer 2.0 BlueHDi Feel XL EAT,32000,02.2018,106'000,180,Automatikgetriebe,Diesel,1212 Grand-Lancy,2023-11-22,CITROEN ,Spacetourer ,Spacetourer 2.0 ,,FALSE
"5426",5426,ALFA ROMEO Stelvio 2.0 Veloce Q4 Automatic,41500,02.2021,39'000,280,Automatikgetriebe,Benzin,4410 Liestal,2023-11-22,ALFA ,ROMEO ,ROMEO Stelvio ,,FALSE
"5427",5427,BMW X1 sDrive 18i Sport Line Steptronic DSK,28000,03.2020,42'500,140,Automatikgetriebe,Benzin,1226 Thônex,2023-11-22,BMW ,X1 ,X1 sDrive ,,FALSE
"5428",5428,PEUGEOT 2008 1.2 PureTech Active EAT6,14500,02.2019,50'000,110,Automatikgetriebe,Benzin,1003 Lausanne,2023-11-22,PEUGEOT ,2008 ,2008 1.2 ,,FALSE
"5429",5429,VW T5 Caravelle Trend 2.5 TDI PD,12700,06.2004,191'000,174,Handschaltung,Diesel,9492 Eschen,2023-11-22,VW ,T5 ,T5 Caravelle ,,FALSE
"5430",5430,MERCEDES-BENZ CLA 45 S AMG 4Matic+ 8G-DCT,46500,12.2019,115'000,422,Automatikgetriebe,Benzin,8272 Ermatingen,2023-11-22,MERCEDES-BENZ ,CLA ,CLA 45 ,,FALSE
