"",V1,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"6788",6788,VW Typ vw31-1500s,21999,11.1965,73'000,0,Handschaltung,Benzin,4313 Möhlin,2023-11-18,VW ,Typ ,Typ ,,FALSE
"6789",6789,ASTON MARTIN DB9 Volante Touchtronic 2,73500,08.2007,49'000,457,Automatikgetriebe,Benzin,8004 Zurich,2023-11-18,ASTON ,MARTIN ,MARTIN DB9 ,,FALSE
"6790",6790,INFINITI FX30d GT Premium AWD Automatic,12000,08.2011,160'000,238,Automatikgetriebe,Diesel,1018 Lausanne,2023-11-18,INFINITI ,FX30d ,FX30d GT ,,FALSE
"6791",6791,VW T-Cross 1.5 TSI Style DSG,28900,04.2021,49'500,150,Automatikgetriebe,Benzin,9245 Oberbüren,2023-11-18,VW ,T-Cross ,T-Cross 1.5 ,,FALSE
"6792",6792,SKODA Kamiq 1.0 TSI Monte Carlo DSG,27900,07.2021,36'500,110,Automatikgetriebe,Benzin,9245 Oberbüren,2023-11-18,SKODA ,Kamiq ,Kamiq 1.0 ,,FALSE
"6793",6793,AUDI A3 Sportback 1.5 35 TFSI S Line S-Tronic,39900,05.2022,14'900,150,Automatikgetriebe,Benzin,9245 Oberbüren,2023-11-18,AUDI ,A3 ,A3 Sportback ,,FALSE
"6794",6794,TOYOTA Auris 1.8 16V HSD Linea Luna,11950,12.2013,136'797,136,Automatikgetriebe,Hybrid,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,TOYOTA ,Auris ,Auris 1.8 ,,FALSE
"6795",6795,PORSCHE 911 GT3 Touring,238800,Neues Fahrzeug,10,510,Handschaltung,Benzin,8370 Sirnach (TG) an der Autobahn A1,2023-11-18,PORSCHE ,911 ,911 GT3 ,,FALSE
"6796",6796,LAND ROVER RANGE ROVER EVOQUE,32800,01.2017,113'900,241,Automatikgetriebe,Benzin,8370 Sirnach (TG) an der Autobahn A1,2023-11-18,LAND ,ROVER ,ROVER RANGE ,,FALSE
"6797",6797,TOYOTA Yaris 1.5 VVT-i Hybrid Y20 e-CVT,18850,09.2019,32'670,101,Automatikgetriebe,Hybrid,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,TOYOTA ,Yaris ,Yaris 1.5 ,,FALSE
"6798",6798,KIA Stonic 1.0 T-GDI Power,20950,05.2022,19'051,101,Handschaltung,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,KIA ,Stonic ,Stonic 1.0 ,,FALSE
"6799",6799,BMW X3 xDrive 30i xLine,39900,03.2019,58'300,252,Automatikgetriebe,Benzin,6340 Baar,2023-11-18,BMW ,X3 ,X3 xDrive ,,FALSE
"6800",6800,BMW i5 M60 xDrive M Sport Pro,124710,Neues Fahrzeug,5,601,Automatikgetriebe,Elektro,8134 Adliswil,2023-11-18,BMW ,i5 ,i5 M60 ,,FALSE
"6801",6801,VW Golf Cabriolet 1800 Classic-Line Leder,33560,06.1991,129'800,98,Handschaltung,Benzin,6930 Bedano,2023-11-18,VW ,Golf ,Golf Cabriolet ,,FALSE
"6802",6802,JEEP Cherokee 3.2 Trailhawk AWD 9ATX,26900,03.2018,41'600,272,Automatikgetriebe,Benzin,8460 Marthalen,2023-11-18,JEEP ,Cherokee ,Cherokee 3.2 ,,FALSE
"6803",6803,"ROLLS-ROYCE Silver Spirit Veteran, 2. Hand Top gepflegt, Schmohl Auslieferung",32900,06.1987,107'800,250,Automatikgetriebe,Benzin,8712 Stäfa,2023-11-18,ROLLS-ROYCE ,Silver ,Silver Spirit ,,FALSE
"6804",6804,MINI Countryman Cooper S ALL4 Steptronic,28000,07.2017,55'000,192,Automatikgetriebe,Benzin,1950 Sion,2023-11-18,MINI ,Countryman ,Countryman Cooper ,,FALSE
"6805",6805,BUICK GS 350,64000,01.1972,71'000,195,Automatikgetriebe,Benzin,8600 Dübendorf,2023-11-18,BUICK ,GS ,GS ,,FALSE
"6806",6806,LANCIA GAMMA Coupé Boxer 2500,7500,04.1979,82'000,140,Handschaltung,Benzin,8340 Hinwil,2023-11-18,LANCIA ,GAMMA ,GAMMA Coupé ,,FALSE
"6807",6807,"MERCEDES-BENZ CLA 220 Diesel, AMG Line",29999,04.2018,110'000,177,Automatikgetriebe,Diesel,3063 Ittigen,2023-11-18,MERCEDES-BENZ ,CLA ,CLA 220 ,,FALSE
"6808",6808,AUDI RS6 plus Avant quattro tiptronic,67800,09.2004,155'000,480,Automatikgetriebe,Benzin,5506 Mägenwil,2023-11-18,AUDI ,RS6 ,RS6 plus ,,FALSE
"6809",6809,ALFA ROMEO Sprint Bertone,47000,01.1961,74'000,0,"",Benzin,4148 Pfeffingen,2023-11-18,ALFA ,ROMEO ,ROMEO Sprint ,,FALSE
"6810",6810,FIAT Coupé 2.0 20V,6800,06.1999,102'000,155,Handschaltung,Benzin,1258 Perly,2023-11-18,FIAT ,Coupé ,Coupé 2.0 ,,FALSE
"6811",6811,PEUGEOT 2008 1.5 BlueHDi 130 GT,31900,03.2023,15'600,130,Automatikgetriebe,Diesel,4704 Niederbipp,2023-11-18,PEUGEOT ,2008 ,2008 1.5 ,,FALSE
"6812",6812,VW Passat Variant 2.0 TDI BMT Comfortline DSG,17800,12.2017,122'400,150,Automatikgetriebe,Diesel,8302 Kloten,2023-11-18,VW ,Passat ,Passat Variant ,,FALSE
"6813",6813,CHEVROLET Camaro 6.2 50th Ann. Ed.,48500,05.2017,19'900,461,Automatikgetriebe,Benzin,8051 Zürich,2023-11-18,CHEVROLET ,Camaro ,Camaro 6.2 ,,FALSE
"6814",6814,SKODA Octavia Combi 2.0 TDI RS 4x4 DSG,17900,11.2016,155'500,184,Automatikgetriebe,Diesel,6030 Ebikon,2023-11-18,SKODA ,Octavia ,Octavia Combi ,,FALSE
"6815",6815,SUZUKI Swift 1.2 Compact Top 4x4 Hybrid,25900,Neues Fahrzeug,25,83,Handschaltung,Benzin,1217 MEYRIN / GENEVE,2023-11-18,SUZUKI ,Swift ,Swift 1.2 ,,FALSE
"6816",6816,VOLVO XC40 E80 Twin Ultimate AWD,69370,Neues Fahrzeug,50,408,Automatikgetriebe,Elektro,8913 Ottenbach,2023-11-18,VOLVO ,XC40 ,XC40 E80 ,,FALSE
"6817",6817,BMW 730d xDrive Steptronic * M-Sport *,44900,01.2018,85'000,265,Automatikgetriebe,Diesel,7000 Chur,2023-11-18,BMW ,730d ,730d xDrive ,,FALSE
"6818",6818,BENTLEY Continental GT 4.0 V8 Mulliner,69900,04.2013,83'000,507,Automatikgetriebe,Benzin,7000 Chur,2023-11-18,BENTLEY ,Continental ,Continental GT ,,FALSE
"6819",6819,BMW 218d xDrive Gran Tourer Steptronic 7-PLÄTZER,26900,04.2021,43'900,150,Automatikgetriebe,Diesel,8305 Dietlikon,2023-11-18,BMW ,218d ,218d xDrive ,,FALSE
"6820",6820,RENAULT Zoe R135 (incl. Batterie) Iconic,31800,Tageszulassung,100,136,Automatikgetriebe,Elektro,6208 Oberkirch,2023-11-18,RENAULT ,Zoe ,Zoe R135 ,,FALSE
"6821",6821,FIAT Uno 1.4 i.e. Turbo,21000,04.1993,93'000,112,Handschaltung,Benzin,6807 Taverne,2023-11-18,FIAT ,Uno ,Uno 1.4 ,,FALSE
"6822",6822,TVR Griffith V8 5.0,52000,08.1998,84'000,327,Handschaltung,Benzin,8309 Nürensdorf,2023-11-18,TVR ,Griffith ,Griffith V8 ,,FALSE
"6823",6823,SUBARU BRZ 2.0R,27200,03.2013,56'900,280,Handschaltung,Benzin,8570 Weinfelden,2023-11-18,SUBARU ,BRZ ,BRZ ,,FALSE
"6824",6824,BMW 135i Coupé,38000,08.2009,101'000,306,Handschaltung,Benzin,6951 Signöra,2023-11-18,BMW ,135i ,135i ,,FALSE
"6825",6825,MERCEDES-BENZ 280 SE 3.5 V8,350000,01.1969,71'310,200,Automatikgetriebe,Benzin,1202 Genève,2023-11-18,MERCEDES-BENZ ,280 ,280 SE ,,FALSE
"6826",6826,AUDI 200 Turbo quattro,24900,05.1988,142'000,200,Handschaltung,Benzin,7276 Davos Frauenkirch,2023-11-18,AUDI ,200 ,200 Turbo ,,FALSE
"6827",6827,FERRARI 458 Speciale 4.5 V8,405458,04.2014,15'800,600,Automatikgetriebe,Benzin,6900 Lugano,2023-11-18,FERRARI ,458 ,458 Speciale ,,FALSE
"6828",6828,JEEP Compass 1.4 Turbo Limited AWD 9ATX,28000,03.2019,34'000,170,Automatikgetriebe,Benzin,1950 Sion,2023-11-18,JEEP ,Compass ,Compass 1.4 ,,FALSE
"6829",6829,PORSCHE 356 SC,140000,01.1963,46'800,90,Handschaltung,Benzin,7000 Chur,2023-11-18,PORSCHE ,356 ,356 ,,FALSE
"6830",6830,VOLVO XC60 D4 AWD Husky Edition Geartronic,25900,01.2015,81'000,230,Automatikgetriebe,Diesel,4653 Obergösgen,2023-11-18,VOLVO ,XC60 ,XC60 D4 ,,FALSE
"6831",6831,HYUNDAI Tucson 1.6 T-GDi HEV Vertex 4WD,49900,10.2023,5'000,180,Automatikgetriebe,Hybrid,6020 Emmenbrücke,2023-11-18,HYUNDAI ,Tucson ,Tucson 1.6 ,,FALSE
"6832",6832,HYUNDAI Tucson 1.6 T-GDi HEV Amplia 4WD,43500,Vorführmodell,50,180,Automatikgetriebe,Hybrid,6020 Emmenbrücke,2023-11-18,HYUNDAI ,Tucson ,Tucson 1.6 ,,FALSE
"6833",6833,MINI Countryman Cooper S ALL4 Steptronic,53900,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,1806 St-Légier-Chiésaz,2023-11-18,MINI ,Countryman ,Countryman Cooper ,,FALSE
"6834",6834,MINI Countryman Cooper S ALL4 Steptronic,52900,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,1806 St-Légier-Chiésaz,2023-11-18,MINI ,Countryman ,Countryman Cooper ,,FALSE
"6835",6835,MINI Countryman John Cooper Works ALL4 Steptronic,64500,Neues Fahrzeug,10,306,Automatikgetriebe,Benzin,1806 St-Légier-Chiésaz,2023-11-18,MINI ,Countryman ,Countryman John ,,FALSE
"6836",6836,MERCEDES-BENZ T-Klasse 180 Style Automat - ESSENCE,40300,Neues Fahrzeug,50,116,Automatikgetriebe,Benzin,1227 Carouge,2023-11-18,MERCEDES-BENZ ,T-Klasse ,T-Klasse 180 ,,FALSE
